question,correct_answer,incorrect_answers/0,incorrect_answers/1,incorrect_answers/2
How many times did Martina Navratilova win the Wimbledon Singles Championship?,Nine,Ten,Seven,Eight
What cricketing term denotes a batsman being dismissed with a score of zero?,Duck,Bye,Beamer,Carry
What is the nickname of Northampton town's rugby union club?,Saints,Harlequins,Saracens,Wasps
In what sport is a "shuttlecock" used?,Badminton,Table Tennis,Rugby,Cricket
A stimpmeter measures the speed of a ball over what surface?,Golf Putting Green, Football Pitch,Cricket Outfield,Pinball Table
How many scoring zones are there on a conventional dart board?,82,62,42,102
"In a game of snooker, what colour ball is worth 3 points?",Green,Yellow,Brown,Blue
"In baseball, how many fouls are an out?",0,5,3,2
Peyton Manning retired after winning Super Bowl XLIX.,False,True,,
What is the highest belt you can get in Taekwondo?,Black,White,Red,Green
The Rio 2016 Summer Olympics held it's closing ceremony on what date?,August 21,August 23,August 19,August 17
Which country will host the 2020 Summer Olympics?,Japan,China,Australia,Germany
Tennis was once known as Racquetball.,False,True,,
Which team was the 2015-2016 NBA Champions?,Cleveland Cavaliers,Golden State Warriors,Toronto Raptors,Oklahoma City Thunders
Josh Mansour is part of what NRL team?,Penrith Panthers,Melbourne Storm,Sydney Roosters,North Queensland Cowboys
Which car manufacturer won the 2016 24 Hours of Le Mans?,Porsche,Toyota,Audi,Ferrari
Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Ma Long (China),Zhang Jike (China),Jun Mizutani (Japan),Vladimir Samsonov (Belarus)
Which female player won the gold medal of table tennis singles in 2016 Olympics Games?,DING Ning (China),LI Xiaoxia (China),Ai FUKUHARA (Japan),Song KIM (North Korea)
Roger Federer is a famous soccer player.,False,True,,
Which soccer team won the Copa Am&eacute;rica Centenario 2016?,Chile,Argentina,Brazil,Colombia
Which team won 2014 FIFA World Cup in Brazil?,Germany,Argentina,Brazil,Netherlands
"In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?",4,1,2,3
Who won the 2016 Formula 1 World Driver's Championship?,Nico Rosberg,Lewis Hamilton,Max Verstappen,Kimi Raikkonen
"In 2016, who won the Formula 1 World Constructor's Championship for the third time in a row?",Mercedes-AMG Petronas,Scuderia Ferrari,McLaren Honda,Red Bull Racing Renault
What is the oldest team in the NFL?,Arizona Cardinals,Chicago Bears,Green Bay Packers,New York Giants
"In Formula 1, the Virtual Safety Car was introduced following the fatal crash of which driver?",Jules Bianchi,Ayrton Senna,Ronald Ratzenberger,Gilles Villeneuve
Which of the following Grand Slam tennis tournaments occurs LAST?,US Open,French Open,Wimbledon,Australian Open
What year did the New Orleans Saints win the Super Bowl?,2010,2008,2009,2011
"In Rugby League, performing a "40-20" is punished by a free kick for the opposing team.",False,True,,
What is the full name of the footballer "Cristiano Ronaldo"?,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo
Who won the "Champions League" in 1999?,Manchester United,Barcelona,Bayern Munich,Liverpool
Who won the 2015 College Football Playoff (CFP) National Championship? ,Ohio State Buckeyes,Alabama Crimson Tide,Clemson Tigers,Wisconsin Badgers
What year was hockey legend Wayne Gretzky born?,1961,1965,1959,1963
Which year was the third Super Bowl held?,1969,1968,1971,1970
Why was The Green Monster at Fenway Park was originally built?,To prevent viewing games from outside the park.,To make getting home runs harder.,To display advertisements.,To provide extra seating.
Which NBA player won Most Valuable Player for the 1999-2000 season?,Shaquille O'Neal,Allen Iverson,Kobe Bryant,Paul Pierce
Which boxer was banned for taking a bite out of Evander Holyfield's ear in 1997?,Mike Tyson,Roy Jones Jr.,Evander Holyfield,Lennox Lewis
How many French Open's did Bj&ouml;rn Borg win?,6,4,9,2
Who is often called "the Maestro" in the men's tennis circuit?,Roger Federer,Bill Tilden,Boris Becker,Pete Sampras
Sports,boolean,medium,ATP tennis hosted several tournaments on carpet court before being replaced to reduce injuries.,True,False,,
Which African American is in part responsible for integrating  Major League baseball?,Jackie Robinson,Curt Flood,Roy Campanella,Satchell Paige
How many premier league trophies did Sir Alex Ferguson win during his time at Manchester United?,13,11,20,22
Which player "kung-fu kicked" a Crystal Palace fan in January 1995?,Eric Cantona,David Seamen,Ashley Cole,Mark Hughes
Who is Manchester United's top premier league goal scorer?,Wayne Rooney,Sir Bobby Charlton,Ryan Giggs,David Beckham
Who is Manchester United's leading appearance maker?,Ryan Giggs,David Beckham,Wayne Rooney,Eric Cantona
There are a total of 20 races in Formula One 2016 season.,False,True,,
Which country will host the 2022 FIFA World Cup?,Qatar,USA,Japan,Switzerland
Who won the UEFA Champions League in 2016?,Real Madrid C.F.,FC Bayern Munich,Atletico Madrid,Manchester City F.C.
"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-7,1-5,1-6,2-6
Which two teams played in Super Bowl XLII?,The New York Giants &; The New England Patriots,The Green Bay Packers &; The Pittsburgh Steelers,The Philadelphia Eagles &; The New England Patriots,The Seattle Seahawks &; The Denver Broncos
